source,trip,driver,style,road,distance_km,wh_per_km_baseline,wh_per_km_anticipatory,saved_wh_per_km,saved_pct,regen_wh_baseline,regen_wh_anticipatory,soc_start,soc_end_baseline,soc_end_anticipatory,intervened,any_nan,oracle_upper_bound,simulation,prop_budget,accel_cap_mps2,brake_trigger_w,clip_rate,n_clipped,mean_clip_err_mps,max_clip_err_mps,distance_delta_pct
uah,20151120162105-17km-D2-NORMAL2-SECONDARY,D2,NORMAL,SECONDARY,16.557,121.89,121.55,0.34,0.28,469.49,458.59,0.98,0.96018,0.96025,True,False,True,True,0.7,3.0,45000.0,0.01031,7,9.3463,16.2778,-0.3449
uah,20151120163350-16km-D2-AGGRESSIVE-SECONDARY,D2,AGGRESSIVE,SECONDARY,16.051,145.87,137.63,8.24,5.65,1083.01,752.28,0.98,0.957,0.95849,True,False,True,True,0.7,3.0,45000.0,0.0165,10,11.5814,20.3889,-0.6539
uah,20151120164606-16km-D2-DROWSY-SECONDARY,D2,DROWSY,SECONDARY,16.034,138.76,137.57,1.19,0.86,580.07,535.91,0.98,0.95815,0.95837,True,False,True,True,0.7,3.0,45000.0,0.0126,8,10.242,20.0278,-0.4469
uah,20151126113754-26km-D3-DROWSY-MOTORWAY,D3,DROWSY,MOTORWAY,25.541,126.63,126.63,0.0,0.0,588.06,588.06,0.98,0.94823,0.94823,False,False,True,True,0.7,3.0,45000.0,0.00794,8,11.3195,20.8611,-0.3128
uah,20151126124208-16km-D3-NORMAL1-SECONDARY,D3,NORMAL,SECONDARY,16.156,116.79,116.35,0.44,0.38,351.77,329.73,0.98,0.96147,0.96155,True,False,True,True,0.7,3.0,45000.0,0.01168,8,12.2913,21.3768,-0.6052
uah,20151126125458-16km-D3-NORMAL2-SECONDARY,D3,NORMAL,SECONDARY,16.383,127.69,127.69,0.0,0.0,389.78,389.78,0.98,0.95945,0.95945,False,False,True,True,0.7,3.0,45000.0,0.01057,7,8.3745,15.8056,-0.3568
uah,20151126130707-16km-D3-AGGRESSIVE-SECONDARY,D3,AGGRESSIVE,SECONDARY,16.037,129.23,128.38,0.85,0.66,722.74,686.22,0.98,0.95964,0.95979,True,False,True,True,0.7,3.0,45000.0,0.01502,10,12.9324,23.1438,-0.8004
uah,20151126132013-17km-D3-DROWSY-SECONDARY,D3,DROWSY,SECONDARY,16.522,134.22,133.97,0.25,0.19,312.6,304.99,0.98,0.95822,0.95827,True,False,True,True,0.7,3.0,45000.0,0.01077,7,9.1135,16.2794,-0.3849
uah,20151126134736-26km-D3-AGGRESSIVE-MOTORWAY,D3,AGGRESSIVE,MOTORWAY,25.395,168.59,165.25,3.34,1.98,1147.8,951.43,0.98,0.93795,0.93895,True,False,True,True,0.7,3.0,45000.0,0.00964,8,9.817,18.7368,-0.3084
uah,20151203171800-16km-D4-NORMAL1-SECONDARY,D4,NORMAL,SECONDARY,16.249,117.12,116.29,0.83,0.71,585.85,556.37,0.98,0.96131,0.96145,True,False,True,True,0.7,3.0,45000.0,0.00979,7,11.1526,19.1953,-0.4783
uah,20151203173103-17km-D4-NORMAL2-SECONDARY,D4,NORMAL,SECONDARY,16.471,123.1,122.41,0.69,0.56,568.3,542.79,0.98,0.96008,0.96022,True,False,True,True,0.7,3.0,45000.0,0.01029,7,9.359,17.1111,-0.3963
uah,20151203174324-16km-D4-AGGRESSIVE-SECONDARY,D4,AGGRESSIVE,SECONDARY,15.536,129.21,126.73,2.48,1.92,701.82,604.64,0.98,0.96028,0.9607,True,False,True,True,0.7,3.0,45000.0,0.01274,8,10.5844,19.7397,-0.5423
uah,20151203175637-17km-D4-DROWSY-SECONDARY,D4,DROWSY,SECONDARY,16.503,129.83,129.57,0.26,0.2,541.19,529.31,0.98,0.95896,0.959,True,False,True,True,0.7,3.0,45000.0,0.0088,6,7.7401,14.31,-0.2808
uah,20151204152848-25km-D4-NORMAL-MOTORWAY,D4,NORMAL,MOTORWAY,25.208,133.9,133.54,0.36,0.27,869.69,846.74,0.98,0.94685,0.94695,True,False,True,True,0.7,3.0,45000.0,0.00705,7,11.5672,20.2222,-0.2804
uah,20151204154908-25km-D4-AGGRESSIVE-MOTORWAY,D4,AGGRESSIVE,MOTORWAY,25.311,156.37,148.5,7.87,5.03,1658.25,1195.54,0.98,0.94113,0.94335,True,False,True,True,0.7,3.0,45000.0,0.00964,9,11.6264,23.6238,-0.4119
uah,20151204160823-25km-D4-DROWSY-MOTORWAY,D4,DROWSY,MOTORWAY,25.047,121.69,121.15,0.54,0.44,698.3,663.38,0.98,0.95006,0.95022,True,False,True,True,0.7,3.0,45000.0,0.0078,8,10.5578,20.7778,-0.3362
uah,20151209151242-25km-D5-NORMAL-MOTORWAY,D5,NORMAL,MOTORWAY,25.398,137.93,137.62,0.31,0.22,840.42,822.34,0.98,0.94559,0.94568,True,False,True,True,0.7,3.0,45000.0,0.00326,3,5.1759,7.5278,-0.0611
uah,20151209153137-25km-D5-AGGRESSIVE-MOTORWAY,D5,AGGRESSIVE,MOTORWAY,25.219,167.77,165.57,2.2,1.31,1197.89,1061.69,0.98,0.93844,0.93918,True,False,True,True,0.7,3.0,45000.0,0.00755,6,8.4682,17.098,-0.2011
uah,20151211160213-25km-D5-DROWSY-MOTORWAY,D5,DROWSY,MOTORWAY,25.133,116.64,115.91,0.73,0.63,653.79,610.44,0.98,0.95121,0.9514,True,False,True,True,0.7,3.0,45000.0,0.00733,8,11.5371,20.2712,-0.366
uah,20151211162829-16km-D5-NORMAL1-SECONDARY,D5,NORMAL,SECONDARY,16.077,117.42,117.42,0.0,0.0,394.39,394.39,0.98,0.96146,0.96146,False,False,True,True,0.7,3.0,45000.0,0.01164,8,12.2474,23.1111,-0.5349
uah,20151211164124-17km-D5-NORMAL2-SECONDARY,D5,NORMAL,SECONDARY,16.499,117.43,117.43,0.0,0.0,453.75,453.75,0.98,0.96097,0.96097,False,False,True,True,0.7,3.0,45000.0,0.01025,7,11.2098,19.0556,-0.4161
uah,20151211170502-16km-D5-DROWSY-SECONDARY,D5,DROWSY,SECONDARY,16.244,127.12,126.77,0.35,0.28,399.79,387.06,0.98,0.95972,0.95978,True,False,True,True,0.7,3.0,45000.0,0.00862,6,8.241,14.4167,-0.2595
uah,20151217162714-26km-D6-NORMAL-MOTORWAY,D6,NORMAL,MOTORWAY,25.445,120.09,119.7,0.39,0.32,533.83,511.0,0.98,0.94999,0.95013,True,False,True,True,0.7,3.0,45000.0,0.00782,8,8.7688,15.5275,-0.275
uah,20151217164730-25km-D6-DROWSY-MOTORWAY,D6,DROWSY,MOTORWAY,24.971,118.43,117.18,1.25,1.06,772.02,698.45,0.98,0.95095,0.95129,True,False,True,True,0.7,3.0,45000.0,0.00747,8,9.6972,19.5963,-0.3098
uah,20151221112434-17km-D6-NORMAL-SECONDARY,D6,NORMAL,SECONDARY,16.437,104.45,104.17,0.28,0.27,273.83,265.01,0.98,0.96314,0.96319,True,False,True,True,0.7,3.0,45000.0,0.00764,6,8.4616,15.9444,-0.2598
uah,20151221113846-16km-D6-DROWSY-SECONDARY,D6,DROWSY,SECONDARY,16.183,117.86,116.88,0.98,0.83,333.55,295.75,0.98,0.96127,0.96143,True,False,True,True,0.7,3.0,45000.0,0.00823,6,8.1762,15.3333,-0.2553
uah,20151221120051-26km-D6-AGGRESSIVE-MOTORWAY,D6,AGGRESSIVE,MOTORWAY,25.667,148.15,141.03,7.12,4.81,1314.96,878.77,0.98,0.94265,0.94474,True,False,True,True,0.7,3.0,45000.0,0.00656,6,7.9495,14.4722,-0.1574
